dataset_id,feature_strategy,fold,error_type,sample_id,source_event_id,source_type,substation_id,label,y_probability,prediction_label,event67_flag,coverage_rate
strict_no_event20,expanded154,4,FN,strict_positive_0003,3,fault_record,12,efd_possible,0.004763966207732922,normal,False,1.0
strict_no_event20,expanded154,4,FN,strict_positive_0015,15,fault_record,29,efd_possible,0.26478257995244653,normal,False,1.0
strict_no_event20,expanded154,4,FN,strict_positive_0040,40,fault_record,24,efd_possible,0.011252046378912122,normal,False,0.9950396825396826
strict_no_event20,expanded154,2,FN,strict_positive_0052,52,fault_record,21,efd_possible,0.00845541495063767,normal,False,1.0
strict_no_event20,expanded154,3,FN,strict_positive_0053,53,fault_record,13,efd_possible,0.252050940187433,normal,False,1.0
strict_no_event20,expanded154,5,FN,strict_positive_0064,64,fault_record,6,efd_possible,0.5414644741821476,normal,False,1.0
strict_no_event20,expanded154,2,FN,strict_positive_0067,67,fault_record,7,efd_possible,0.051456646678833345,normal,True,1.0
strict_no_event20,expanded154,5,FP,normal_0008,8,normal_event,6,normal,0.9725704023042334,efd_possible,False,1.0
strict_no_event20,expanded154,1,FP,normal_0019,19,normal_event,8,normal,0.9053828965955808,efd_possible,False,1.0
strict_no_event20,expanded154,4,FP,normal_0021,21,normal_event,1,normal,0.699078434426651,efd_possible,False,1.0
strict_no_event20,expanded154,5,FP,normal_0033,33,normal_event,3,normal,0.8327088193682776,efd_possible,False,1.0
strict_no_event20,expanded154,3,FP,normal_0039,39,normal_event,15,normal,0.8941223241114421,efd_possible,False,1.0
strict_no_event20,expanded154,3,FP,normal_0048,48,normal_event,11,normal,0.7583688852054297,efd_possible,False,1.0
strict_no_event20,expanded154,3,FP,normal_0068,68,normal_event,13,normal,0.9292889110392974,efd_possible,False,1.0
strict_no_event20,fold_selected_compact13,4,FN,strict_positive_0003,3,fault_record,12,efd_possible,0.31301149204443807,normal,False,1.0
strict_no_event20,fold_selected_compact13,4,FN,strict_positive_0015,15,fault_record,29,efd_possible,0.027966965271239427,normal,False,1.0
strict_no_event20,fold_selected_compact13,4,FN,strict_positive_0040,40,fault_record,24,efd_possible,0.0019617411970339056,normal,False,0.9950396825396826
strict_no_event20,fold_selected_compact13,2,FN,strict_positive_0052,52,fault_record,21,efd_possible,0.041017753260306156,normal,False,1.0
strict_no_event20,fold_selected_compact13,5,FN,strict_positive_0064,64,fault_record,6,efd_possible,0.2877731346949848,normal,False,1.0
strict_no_event20,fold_selected_compact13,2,FN,strict_positive_0067,67,fault_record,7,efd_possible,0.20183472112922127,normal,True,1.0
strict_no_event20,fold_selected_compact13,5,FP,normal_0008,8,normal_event,6,normal,0.9552885531924465,efd_possible,False,1.0
strict_no_event20,fold_selected_compact13,1,FP,normal_0019,19,normal_event,8,normal,0.8767152790655133,efd_possible,False,1.0
strict_no_event20,fold_selected_compact13,5,FP,normal_0033,33,normal_event,3,normal,0.6351455421292573,efd_possible,False,1.0
strict_no_event20,fold_selected_compact13,3,FP,normal_0035,35,normal_event,11,normal,0.9974976379919553,efd_possible,False,1.0
